ano,nome_regiao,sigla_uf,nome_uf,nome_municipio,va_agropecuaria,va_industria,va_servicos,va_varios,va_total,impostos,pib,pib_per_capita
2018,Nordeste,MA,Maranhão,Açailândia,194293,988032,788654,405768,2376747,222230,2598977,23256
2018,Nordeste,MA,Maranhão,Afonso Cunha,12986,1966,10487,24620,50059,1271,51330,7935
2018,Nordeste,MA,Maranhão,Água Doce do Maranhão,5816,3093,24507,48953,82368,3601,85969,6884
2018,Nordeste,MA,Maranhão,Alcântara,12933,7425,33224,70088,123670,5937,129607,5869
2018,Nordeste,MA,Maranhão,Aldeias Altas,39127,8016,37741,90217,175102,5913,181015,6882
2018,Nordeste,MA,Maranhão,Altamira do Maranhão,12320,1828,12007,28642,54797,1621,56419,6995
2018,Nordeste,MA,Maranhão,Alto Alegre do Maranhão,6465,14811,135884,80829,237988,30651,268639,10009
2018,Nordeste,MA,Maranhão,Alto Alegre do Pindaré,21384,7158,46035,103836,178413,11934,190348,5968
2018,Nordeste,MA,Maranhão,Alto Parnaíba,216392,14026,69561,40525,340504,8823,349328,31279
2018,Nordeste,MA,Maranhão,Amapá do Maranhão,7878,1525,15190,24005,48599,2821,51419,7433
2018,Nordeste,MA,Maranhão,Amarante do Maranhão,73469,9948,74850,143368,301636,12034,313670,7625
2018,Nordeste,MA,Maranhão,Anajatuba,35277,5891,42486,88351,172004,5512,177517,6670
2018,Nordeste,MA,Maranhão,Anapurus,24749,5725,38032,56684,125190,6152,131342,8438
2018,Nordeste,MA,Maranhão,Apicum-Açu,15123,3805,26338,59400,104666,4104,108770,6375
2018,Nordeste,MA,Maranhão,Araguanã,9997,2235,17288,48459,77978,3077,81055,5299
2018,Nordeste,MA,Maranhão,Araioses,31639,9100,73734,142386,256859,12540,269399,5843
2018,Nordeste,MA,Maranhão,Arame,48887,7654,65275,99756,221573,11673,233246,7147
2018,Nordeste,MA,Maranhão,Arari,42453,10186,84466,100529,237635,15800,253435,8515
2018,Nordeste,MA,Maranhão,Axixá,11237,2881,17755,38906,70779,3077,73856,6116
2018,Nordeste,MA,Maranhão,Bacabal,51093,81079,627857,332658,1092687,118123,1210810,11572
2018,Nordeste,MA,Maranhão,Bacabeira,14192,141727,66107,64982,287008,19809,306817,18203
2018,Nordeste,MA,Maranhão,Bacuri,8595,3388,24921,58392,95296,2975,98271,5310
2018,Nordeste,MA,Maranhão,Bacurituba,3628,1292,8035,20832,33787,1277,35065,6243
2018,Nordeste,MA,Maranhão,Balsas,928587,170802,1661189,354524,3115103,378381,3493484,37234
2018,Nordeste,MA,Maranhão,Barão de Grajaú,8322,9428,105129,57440,180319,25663,205982,11007
2018,Nordeste,MA,Maranhão,Barra do Corda,50374,34885,299981,288415,673655,48609,722264,8227
2018,Nordeste,MA,Maranhão,Barreirinhas,39714,32253,187599,193247,452813,31954,484767,7841
2018,Nordeste,MA,Maranhão,Belágua,3871,1514,9259,30851,45495,861,46356,6257
2018,Nordeste,MA,Maranhão,Bela Vista do Maranhão,7322,3497,24690,45603,81112,3477,84589,7595
2018,Nordeste,MA,Maranhão,Benedito Leite,10278,2024,9365,20020,41686,1099,42785,7604
2018,Nordeste,MA,Maranhão,Bequimão,12038,4647,39394,66896,122974,6111,129085,6072
2018,Nordeste,MA,Maranhão,Bernardo do Mearim,13318,2517,11224,20743,47802,1552,49354,8211
2018,Nordeste,MA,Maranhão,Boa Vista do Gurupi,4095,2192,22805,28958,58050,4651,62701,6847
2018,Nordeste,MA,Maranhão,Bom Jardim,79916,13311,77249,131847,302322,12450,314773,7597
2018,Nordeste,MA,Maranhão,Bom Jesus das Selvas,68359,10748,77172,117176,273455,16219,289674,8652
2018,Nordeste,MA,Maranhão,Bom Lugar,16852,2707,19481,47635,86675,3029,89704,5555
2018,Nordeste,MA,Maranhão,Brejo,63627,12558,90726,110674,277586,14124,291710,8072
2018,Nordeste,MA,Maranhão,Brejo de Areia,7754,1791,13571,31869,54985,1895,56880,6072
2018,Nordeste,MA,Maranhão,Buriti,37776,7901,52425,96512,194614,7516,202129,7078
2018,Nordeste,MA,Maranhão,Buriti Bravo,21726,14285,49778,75681,161470,7701,169172,7100
2018,Nordeste,MA,Maranhão,Buriticupu,104340,22274,180666,221700,528980,31148,560128,7810
2018,Nordeste,MA,Maranhão,Buritirana,18206,3141,21375,53469,96191,3046,99237,6447
2018,Nordeste,MA,Maranhão,Cachoeira Grande,8712,1730,10667,32548,53656,1381,55037,5866
2018,Nordeste,MA,Maranhão,Cajapió,6809,1958,10785,34283,53836,1403,55239,4960
2018,Nordeste,MA,Maranhão,Cajari,19936,2646,18596,59626,100804,2315,103119,5341
2018,Nordeste,MA,Maranhão,Campestre do Maranhão,60781,8264,40500,47914,157458,7748,165206,11558
2018,Nordeste,MA,Maranhão,Cândido Mendes,13590,4724,35120,71026,124460,5212,129672,6459
2018,Nordeste,MA,Maranhão,Cantanhede,8541,6627,34757,68827,118754,5478,124232,5680
2018,Nordeste,MA,Maranhão,Capinzal do Norte,18782,29439,37614,51835,137670,5885,143555,13132
